telefono,name,surname,id_contact,email
4553101,Terence,McKenna,30000001,terence@mckenna.com
4553102,Timothy,Leary,30000002,timothy@leary.com
4553103,Albert,Hoffman,30000003,albert@hoffman.com
4553104,Aldous,Huxley,30000004,aldous@huxley.com
4553105,Herman,Hesse,30000005,herman@hesse.com
5553101,Jorge Luis,Borges,30000006,jorge@borges.com
5553102,Jiddu,Krishnamurti,30000007,jiddu@krishnamurti.com
5553103,Herman,Hesse,30000008,herman@hesse.com
5553104,Aleister,Crowley,30000009,aleister@crowley.com
5553105,Facundo,Cabral,30000010,facundo@cabral.com
6553101,Atahualpa,Yupanqui,30000011,atahualpa@yupanqui.com
6553102,Carl Gustav, Jung,30000012,carl@jung.com
6553103,Isaac,Luria,30000013,isaac@luria.com
6553104,Robert Anton,Wilson,30000014,robert@wilson.com
